        'ru_RU': {
        'create_code': "Створити код",
        'are_you_sure_you_want_to_delete': "Ви впевнені, що хочете видалити?",
        'are_you_sure_you_want_to_remove': "Ви впевнені, що хочете видалити?",
        'are_you_sure_you_want_to_approve': "Ви впевнені, що хочете схвалити?",
        'are_you_sure_you_want_to_cancel': "Ви впевнені, що бажаєте скасувати?",
        'are_you_sure_you_want_to_return_hire': "Ви впевнені, що бажаєте повернути цей орендований товар?",
        'are_you_sure_you_want_to_unarchive': "Ви впевнені, що хочете розархівувати?",
        'are_you_sure_you_want_to_reject': "Ви впевнені, що бажаєте відхилити?",
        'are_you_sure_you_want_to_appeal': "Ви впевнені, що бажаєте оскаржити?",
        'sub_contractor_details': "Відомості про субпідрядника",
        'copy_code': "Копіювати код",
        'copied_to_clip_board': "Скопійовано в буфер обміну",
        'generate_password': "Згенерувати пароль",
        'again': "Знову",
        'adjust_widgets': "Налаштувати віджети",
        'all': "всі",
        'create_new_shift': "Створити нову зміну",
        'edit_shift': "Редагувати Shift",
        'shift_name': "Назва зміни",
        'does_it_have_price_work': "Чи працює ціна?",
        'start_shift': "Запустіть Shift",
        'end_shift': "Кінцева зміна",
        'start_break': "Почати перерву",
        'end_break': "Кінцева перерва",
        'add_another_break': "Додайте ще одну перерву",
        'select_days': "Виберіть Дні",
        'every_weekday': "Кожен будній день",
        'weekend': "Вихідні",
        'shift': "Shift",
        'breaks': "Перерви",
        'break': "Перерва",
        'on_break': "На перерві",
        'on_leave': "У відпустку",
        'shifts': "Зміни",
        'archived_shifts': "Архівні зміни",
        'billing_info': "Платіжна інформація",
        'my_day_logs': "Журнали мого дня",
        'name_on_utr': "Назва на УТР",
        'my_shift': "Моя зміна",
        'cancel': "Скасувати",
        'timesheets': "Табель обліку робочого часу",
        'time_tracking': "Відстеження часу",
        'archived_timesheets': "Архівні табелі обліку робочого часу",
        'edit_my_shift': "Редагувати мою зміну",
        'reset': "Скинути",
        'approve': "Затвердити",
        'reject': "Відхиляти",
        'work_log': "Журнал роботи",
        'my_account': "Мій акаунт",
        'switch_company': "Компанія Switch",
        'active': "Активний",
        'are_you_sure_you_want_to_switch': "Ви впевнені, що бажаєте перейти?",
        'delete_account': "Видалити акаунт",
        'requested_note': "Запитана примітка",
        'approved_note': "Затверджена примітка",
        'rejected_note': "Відхилена примітка",
        'companies': "Компанії",
        'create_or_join': "Створити або приєднатися",
        'empty_note_error': "Введіть примітку",
        'add_worklog': "Додати робочий журнал",
        'add_project': "Додати проект",
        'edit_project': "Редагувати проект",
        'archived_projects': "Архівовані проекти",
        'update_project': "Оновити проект",
        'project_name': "Назва проекту",
        'select_teams': "Виберіть команди",
        'select_team': "Виберіть команду",
        'site_address': "Адреса сайту",
        'budget': "Бюджет",
        'add_geofence': "Додайте геозону",
        'add_addresses': "Додайте адреси",
        'address': "Адреса",
        'postcode': "Поштовий індекс",
        'street': "вул",
        'town': "містечко",
        'project_code': "Код проекту",
        'start_date': "Дата початку",
        'end_date': "Дата закінчення",
        'materials': "Матеріали",
        'price_work': "Ціна Робота",
        'day_work': "Денна робота",
        'total': "Всього",
        'project_all': "Проекти (всі)",
        'projects': "Проекти",
        'search_shift': "Пошук Shift",
        'search_project': "Пошуковий проект",
        'search_task': "Пошукове завдання",
        'addresses': "Адреси",
        'archive_project': "Архівний проект",
        'continue_shift': "Продовжити Shift",
        'admin': "адмін",
        'company': "Компанія",
        'archived_address': "Архівні адреси",
        'change_progress': "Зміна прогресу",
        'update_address': "Оновити адресу",
        'add_address': "Додати адресу",
        'progress': "Прогрес",
        'address_postcode': "Адреса та поштовий індекс",
        'no_billing_info_available': "Немає платіжної інформації",
        'add_billing_info': "Додати платіжну інформацію",
        'billing_information_submission_is_pending_for_approval': "Надіслана платіжна інформація очікує на затвердження",
        'rates': "Ставки",
        'this_billing_data_is_awaiting_for_approval': "Ці платіжні дані очікують на затвердження",
        'do_you_want_to_leave_a_note': "Ви хочете залишити записку?",
        'enter_note': "Введіть Примітка",
        'billing_info_request': "Запит платіжної інформації",
        'trade ': "Торгівля",
        'net_per_day': "Нетто на день",
        'billing': "Виставлення рахунків",
        'health_info': "Інформація про здоров'я",
        'emergency_contact': "Екстрений контакт",
        'health_questions': "Питання",
        'height_cm': "Висота (см)",
        'weight_kg': "Вага (кг)",
        'health_detail_note': "Деталь",
        'health_issue_detail_required': "Будь ласка, введіть деталі для кожного запитання, на яке відповіли «Так».",
        'health_safety': "Здоров'я та безпека",
        'my_requests': "Мої запити",
        'documents': "Документи",
        'my_leaves': "Мої листочки",
        'digital_id': "Цифровий ідентифікатор",
        'rent': "Оренда",
        'history': "історія",
        'hire_from': "Найняти від",
        'hire_to': "Найняти",
        'hire_order_details': "Деталі замовлення на найм",
        'full_date': "Крапка",
        'approved_by': "Затверджено",
        'ordered_items': "Замовлені товари",
        'please_select_hire_from_first': "Будь ласка, спочатку виберіть дату Найняти з",
        'please_select_hire_to_date': "Будь ласка, виберіть Найняти на сьогодні",
        'hire_to_must_be_on_or_after_from': "Hire To має бути до або після Hire From",
        'search_post_code': "Пошук поштового індексу",
        'postcode_address': "Поштовий індекс або адреса",
        'addresses_found': "знайдено адрес",
        'privacy_policy': "Конфіденційність і політика",
        'app_info': "Інформація про додаток",
        'location': "Розташування",
        'project': "Демонструвати",
        'project_details': "Деталі проекту",
        'warning': "УВАГА",
        'update_progress_warning_text_one': "Ви повинні відзначити прогрес",
        'update_progress_warning_text_two': "виконати завдання",
        'update_progress_warning_text_three': "Ви хочете змінити прогрес",
        'msg_empty_before_attachment': "Будь ласка, виберіть принаймні 1 перед фотографією.",
        'msg_empty_after_attachment': "Будь ласка, виберіть принаймні 1 після фотографії.",
        'push': "Поштовх",
        'feed': "годувати",
        'announcement': "Оголошення",
        'cis': "CIS",
        'edit_rate': "Редагувати ставку",
        'join_company_date': "Дата приєднання до компанії",
        'gross_per_day': "Брутто за день",
        'rate_history': "Історія оцінок",
        'send': "Надіслати",
        'trade': "Торгівля",
        'rate_request': "Запит на ставку",
        'rate_not_added_or_approved': "Ваша ставка не додана і не затверджена.",
        'note_min_length_error': "Примітка має містити не менше 60 символів",
        'note_max_length_error': "Примітка не повинна перевищувати 500 символів",
        'lock': "Замок",
        'unlock': "Розблокувати",
        'mark_as_paid': "Позначити як оплачений",
        'share': "Поділіться",
        'view_amount': "Переглянути суму",
        'history_logs': "Історія/Журнали",
        'action': "Дія",
        'remove': "видалити",
        'add_timesheet': "Додайте табель",
        'select_date': "Виберіть дату",
        'select_time': "Виберіть час",
        'error_wrong_time_selection': "Час початку зміни має бути меншим за час закінчення зміни.",
        'call': "Телефонуйте",
        'message': "повідомлення",
        'note': "Примітка",
        'notes': "Примітки:",
        'attachments': "Додатки:",
        'task_selected': "Завдання вибрано",
        'add_trade': "Додати торгівлю",
        'trade_name': "Торгова назва",
        'category': "Категорія",
        'select_category': "Виберіть категорію",
        'selected': "Вибране",
        'empty_category_list': "Категорія не знайдена",
        'payment': "Оплата",
        'decoration': "Прикраса",
        'quantity': "Кількість",
        'estimation_duration': "Тривалість оцінки",
        'requested_shift': "Запитана зміна",
        'actual_shift': "Фактична зміна",
        'write_announcement': "Написати Оголошення",
        'new_announcement_title': "Нове оголошення",
        'write_announcement_placeholder': "Написати Оголошення",
        'please_write_announcement': "Будь ласка, напишіть оголошення",
        'publish_announcement': "Опублікувати оголошення",
        'upload_announcement_short': "ЗАВАНТАЖИТИ",
        'all_company_users': "Всі користувачі компанії",
        'select_users': "Виберіть Користувачі",
        'select_user': "Виберіть Користувач",
        'send_notification_as': "Надіслати сповіщення як",
        'enter_address': "Введіть адресу",
        'area_size': "Розмір площі",
        'attachment': "вкладення",
        'invite_user': "Запросити користувача",
        'invite': "Запросити",
        'update_details': "Деталі оновлення",
        'update': "оновлення",
        'add_leave': "Додати залишити",
        'edit_leave': "Редагувати Вийти",
        'leave_type': "Тип відпустки",
        'leaves': "листя",
        'leave': "Залиште",
        'leave_history': "Залишити історію",
        'leave_calendar': "Залишити календар",
        'half_day': "Половина дня",
        'paid': "Платний",
        'unpaid': "Неоплачений",
        'no_leaves_on_this_day': "У цей день немає листя",
        'hire_history': "Історія найму",
        'leave_details': "Залишити подробиці",
        'all_day': "Весь день",
        'total_time_requested': "Загальний запитуваний час",
        'work_days': "робочі дні",
        'start_time': "Час початку",
        'end_time': "Час закінчення",
        'error_wrong_start_date_selection': "Дата початку не може бути після дати завершення",
        'error_wrong_end_date_selection': "Дата завершення не може передувати даті початку",
        'error_wrong_start_time_selection': "Час початку не може бути після часу завершення",
        'error_wrong_end_time_selection': "Час завершення не може передувати часу початку",
        'date': "Дата",
        'last_working_date': "Остання дата роботи",
        'time': "час",
        'email_copied': "Електронну пошту скопійовано",
        'you_have_not_join_any_company': "Ви не приєдналися до жодної компанії",
        'please_create_or_join_a_company_to_continue': "Щоб продовжити, створіть компанію або приєднайтеся до неї",
        'pdf_viewer': "Переглядач PDF",
        'pdf': "PDF",
        'requested': "Просили",
        'approved': "Затверджено",
        'rejected': "Відхилено",
        'pending': "В очікуванні",
        'new': "новий",
        'complete': "Повний",
        'delete_project': "Видалити проект",
        'audio_player': "Аудіоплеєр",
        'archive_address': "Адреса архіву",
        'edit_address': "Редагувати адресу",
        'delete_address': "Видалити адресу",
        'is_paid': "Оплачується",
        'remove_user_note1': "Це назавжди видалить усі дії, історію та дії, пов’язані з користувачем. Після видалення дані не можна відновити.",
        'remove_user_note2': "Щоб видалити користувача без втрати його інформації, виберіть натомість опцію «Архівувати».",
        'remove_user': "Видалити користувача",
        'delete_forever': "Видалити назавжди",
        'archived_users': "Заархівовані користувачі",
        'date_of_receipt': "Дата отримання",
        'add_expense': "Додати витрати",
        'edit_expense': "Редагувати витрати",
        'expenses': "Витрати",
        'sum_of_total': "Сума всього",
        'car_register_number': "Реєстраційний номер автомобіля",
        'enter_valid_car_register_number': "Введіть літери та цифри (максимум 10 символів)",
        'please_select_project': "Виберіть проект",
        'please_select_shift': "Виберіть зміну",
        'upload_worklog_confirmation_message': "Ви впевнені, що бажаєте завантажити дані робочого журналу на сервер?",
        'enter_valid_amount': "Введіть дійсну суму",
        'digital_id_card': "Цифрове посвідчення особи",
        'user_id': "Ідентифікатор користувача",
        'valid_until': "Дійсний до",
        'joined': "Приєднався",
        'digital_id_slogan': "Час – гроші. Контролюйте це.",
        'penalty': "Пенальті",
        'worklog_summary': "Резюме робочого журналу",
        'expense': "Витрати",
        'total_payable': "Всього до сплати",
        'web': "Web",
        'app': "App",
        'capture_photo': "Зробити фото",
        'capture_video': "Захоплення відео",
        'photos': "Фотографії",
        'videos': "Відео",
        'video_compress_message': "Зачекайте... Відео стискається",
        'video_player': "Відеоплеєр",
        'video_unable_to_load': "Не вдалося завантажити це відео. Перевірте підключення або повторіть спробу пізніше. Якщо проблема продовжується, можливо, сервер зайнятий.",
        'open_video_externally': "Відкрити в іншій програмі",
        'uploading_video_message': "Завантаження відео, зачекайте...",
        'would_you_like_to_change': "Ви впевнені, що бажаєте продовжити цю зміну?",
        'change_login_number': "Змінити логін",
        'make_an_admin': "Зробіть адміністратора",
        'updating': "Оновлення...",
        'empty_trade_warning_message': "У вашій компанії ще немає угод. Щоб продовжити, додайте торгівлю.",
        'empty_address_message': "Виберіть адресу",
        'no_supervisor_teams_message': "Ви не керівник жодної команди.",
        'purchasing': "Закупівлі",
        'orders': "Замовлення",
        'request': "запит",
        'proceed': "Продовжуйте",
        'delivered': "Доставлено",
        'other': "інше",
        'low_stock': "Низький запас",
        'inventory_in_legend': "IN",
        'inventory_out_legend': "OUT",
        'trulock': "Trulock",
        'camden': "Camden",
        'incompleted': "Незавершені",
        'damaged': "Пошкоджений",
        'inventory': "Інвентар",
        'bar_chart': "Гістограма",
        'line_chart': "Лінійна діаграма",
        'hire': "Найняти",
        'hired': "Найнятий",
        'available': "в наявності",
        'in_service': "В обслуговуванні",
        'delivery_to': "Доставка до",
        'downloading': "Завантаження",
        'please_wait': "Зачекайте...",
        'download_failed': "Помилка завантаження",
        'file_downloaded': "Файл завантажено",
        'digital_id_card_downloaded': "Цифрову ідентифікаційну картку завантажено",
        'expected_qty': "Очікувана кількість",
        'available_qty': "Доступна кількість",
        'ordered': "Замовив",
        'add_category': "Додати категорію",
        'update_category': "Оновити категорію",
        'check_in_note': "Примітка про реєстрацію",
        'ok': "Ok",
        'check_out_note': "Примітка про виїзд",
        'task_note': "Примітка до завдання",
        'bookkeeper': "Бухгалтер",
        'checklog_summery': "Checklog Summery",
        'user_code': "Код користувача",
        'appeal': "Звернення",
        'my_analytics': "Моя аналітика",
        'appeal_note': "Примітка до апеляції",
        'score': "Оцінка",
        'overall': "Загалом",
        'invoices': "Рахунки-фактури",
        'payments': "Платежі",
        'payslips': "Розрахункові листки",
        'certificates': "Сертифікати",
        'certificate_no': "Сертифікат №",
        'valid': "Дійсний",
        'expiring_soon': "Термін дії скоро закінчується",
        'expired_soon': "Термін дії скоро закінчиться",
        'expires_in_days': "Термін дії закінчується через @days днів",
        'keep_documents_up_to_date': "Тримайте свої документи в актуальному стані",
        'expired_documents_site_access_warning': "Прострочені документи можуть перешкодити вам отримати доступ до певних сайтів",
        'insurance': "страхування",
        'driving_license': "Водійське посвідчення",
        'upload_certificate': "Завантажити сертифікат",
        'kpi': "KPI",
        'certificate_type': "Тип сертифіката",
        'please_select_certificate_type': "Виберіть тип сертифіката",
        'document_type': "Тип документа",
        'expiry_date': "Термін придатності",
        'document_number': "Номер документа",
        'document_number_invalid': "Номер документа може містити лише букви та цифри",
        'upload_file': "Завантажити файл",
        'tap_to_upload': "Торкніться, щоб завантажити",
        'certificate_upload_hint': "PDF, JPG або PNG (макс. 10 МБ)",
        'save_document': "Зберегти документ",
        'please_select_document_type': "Виберіть тип документа",
        'certificate_invalid_file_type': "Виберіть файл PDF, JPG або PNG",
        'certificate_file_size_exceeded': "Розмір файлу має бути 10 МБ або менше",
        'document_details': "Відомості про документ",
        'preview': "Попередній перегляд",
        'actions': "Дії",
        'view_pdf': "Переглянути PDF",
        'view_document': "Переглянути документ",
        'replace_document': "Замінити документ",
        'delete_document': "Видалити документ",
        'uploaded': "Завантажено",
        'warnings': "Попередження",
        'app_activity': "Активність у програмі",
        'more_details': "Детальніше",
        'checkout_before_stop_work_message': "Перед закінченням робіт необхідно перевірити",
        'add_invoice': "Додати рахунок-фактуру",
        'invoice_number': "Номер рахунку-фактури",
        'invoice_date': "Дата рахунку-фактури",
        'add_payslip': "Додати платіжну відомість",
        'from_date': "З дати",
        'to_date': "На сьогоднішній день",
        'period': "Крапка",
        'updated_on': "Оновлено",
        'from_date_select_note': "Виберіть спочатку дату",
        'error_wrong_to_date_selection': "Дата не може бути раніше від дати",
        'exceeding_time_note': "Додайте примітку про перевищення рекомендованого часу",
        'download': "Завантажити",
        'msg_empty_selected_document': "Виберіть принаймні 1 документ.",
        'net_timesheet': "Чистий табель",
        'net_price_work': "Чистий PriceWork",
        'penalty_amount': "Сума штрафу",
        'expense_amount': "Витрати сплачені",
        'total_paid': "Всього оплачено",
        'gross': "Валовий",
        'paid_leave': "Оплачувана відпустка",
        'unpaid_leave': "Відпустка без збереження заробітної плати",
        'gross_total': "Загальна сума",
        'msg_empty_billing_info_warning': "Будь ласка, заповніть свої платіжні реквізити, щоб почати роботу.",
        'contact_hr': "Зв'яжіться з HR",
        'ref': "Ref",
        'create_order': "Створити замовлення",
        'order': "порядок",
        'select_cis': "Виберіть СНД",
        'draft': "Чернетка",
        'draft_orders': "Проекти наказів",
        'out_of_stock': "Немає в наявності",
        'pending_approval': "Очікує на схвалення",
        'order_id': "ID замовлення",
        'expected_delivery_date': "Очікувана дата доставки",
        'delivery_date': "Дата доставки",
        'store': "Магазин",
        'supplier': "Постачальник",
        'select_delivery_time': "Виберіть Час доставки",
        'empty_address_list': "Адреси не знайдено",
        'invoice': "рахунок-фактура",
        'unite_total': "Unite Total",
        'tax': "податок",
        'msg_add_at_least_one_qty': "Додайте принаймні 1 кількість",
        'msg_selected_products_same_supplier': "Всі вибрані товари повинні належати одному постачальнику!",
        'msg_select_at_least_one_qty': "Виберіть принаймні 1 кількість",
        'msg_select_at_least_one_item': "Виберіть принаймні 1 товар",
        'crete_buyer_order_checkbox_note': "Здійснити коригування тарифів на товари в каталозі",
        'order_length_validation_message': "Ідентифікатор замовлення має складатися з 6 цифр",
        'product_details': "Деталі продукту",
        'store_Settings': "Налаштування магазину",
        'suppliers': "Постачальники",
        'categories': "Категорії",
        'receive': "Отримати",
        'received_qty': "Отримана кількість",
        'received_on': "Отримано",
        'qty_to_receive': "Кількість для отримання",
        'basket': "Кошик",
        'order_now': "Замовляйте зараз",
        'delivery_time': "Час доставки",
        'items': "елементи",
        'out_of_stock_msg': "немає на складі; вони будуть доставлені найближчим часом",
        'empty_basket_msg': "Ваш кошик порожній",
        'empty_basket_sub_msg': "Схоже, ви ще нічого не додали",
        'product_code': "Код товару",
        'product_set': "Набір продуктів",
        'product_info': "Інформація про продукт",
        'technical_specification': "Технічна специфікація",
        'no_products_msg': "Продукти не знайдено",
        'no_products_sub_msg': "За запитом не знайдено жодного товару",
        'added': "Додано",
        'add_to_cart': "Додати в кошик",
        'receive_date': "Дата отримання",
        'order_date': "Дата замовлення",
        'ordered_by': "Замовлено",
        'qty': "Qty",
        'order_users': "Користувачі замовлення",
        'stores': "Магазини",
        'details': "Подробиці",
        'collected': "Зібрано",
        'returned': "Повернувся",
        'cancelled': "Скасовано",
        'no_orders_found': "Замовлень не знайдено",
        'collect': "Збирати",
        'preparing': "Готується",
        'ready': "Готовий",
        'upcoming': "Майбутні",
        'processing': "Обробка",
        'in_stock': "В наявності",
        'unfulfilled': "Нереалізований",
        'issued': "Видано",
        'servicing': "Обслуговування",
        'internal_orders': "Внутрішні накази",
        'items_in_order': "Предмети по порядку",
        'adjustment': "коригування",
        'delete_request': "Видалити запит",
        'net_payable': "Чиста заборгованість",
        'reorder_all': "Перевпорядкувати все",
        'return': "Повернення",
        'items_qty': "Кількість предметів",
        'order_proceed_msg': "Ви впевнені, що бажаєте виконати це замовлення?",
        'order_deliver_msg': "Ви впевнені, що хочете доставити це замовлення?",
        'order_received_msg': "Ви впевнені, що хочете отримати це замовлення?",
        'order_cancel_msg': "Ви впевнені, що бажаєте скасувати це замовлення?",
        'msg_storeman_order_note_and_photo': "Будь ласка, виберіть Примітка та фото",
        'leave_including': "Відпустка в тому числі",
        'select_store': "Виберіть Магазин",
        'no_store_found': "Магазин не знайдено",
        'reorder': "Змінити порядок",
        'parent_category': "Батьківська категорія",
        'add_supplier': "Додати постачальника",
        'update_supplier': "Оновити постачальника",
        'add_store': "Додати магазин",
        'update_store': "Магазин оновлень",
        'store_manager': "Менеджер магазину",
        'contact_person_details': "Дані контактної особи",
        'contact_person_name': "Ім'я контактної особи",
        'contact_person_email': "Електронна адреса контактної особи",
        'contact_person_phone': "Контактна особа Телефон",
        'mark_as_preparing': "Позначити як готується",
        'mark_as_ready': "Позначити як готове",
        'mark_as_delivered': "Позначити як доставлене",
        'ready_to_collect': "Готовий до збору",
        'cancel_order': "Скасувати замовлення",
        'return_order': "Замовлення на повернення",
        'ready_to_deliver': "Готовий до доставки",
        'price': "Ціна",
        'delivered_qty': "Кількість поставлених",
        'cancelled_qty': "Скасована кількість",
        'cancelled_order_invoice': "Скасований рахунок-фактура замовлення",
        'user_not_exist_message': "Користувач не існує в цій компанії.",
        'near_miss_reporting': "Біля Міс звітність",
        'report_incident': "Повідомити про інцидент",
        'hazard_type': "Тип небезпеки",
        'select_hazard_type': "Виберіть тип небезпеки",
        'write_description_here': "Напишіть тут опис",
        'video': "відео",
        'clear': "ясно",
        'tap_to_upload_media': "Торкніться, щоб завантажити медіа",
        'photo_video': "Фото або відео",
        'incident_type': "Тип інциденту",
        'select_incident_type': "Виберіть тип інциденту",
        'select_threat_level_assessment': "Виберіть рівень загрози",
        'threat_level_assessment': "Рівень загрози",
        'notify_to': "Повідомити",
        'upload': "Завантажити",
        'record': "запис",
        'audio': "Аудіо",
        'create_new_album': "Створити новий альбом",
        'album_name': "Назва альбому",
        'products': "Продукти",
        'favorites': "Вибране",
        'create_a_new_album': "Створіть новий альбом",
        'confirm_order': "Підтвердити замовлення",
        'collected_order_confirmation': "Ви впевнені, що хочете позначити це замовлення як отримане?",
        'provide_cancel_order_reason_title': "Укажіть причину скасування цього замовлення.",
        'provide_cancel_order_reason_description': "Ця інформація потрібна для відстеження проекту та історії замовлень",
        'enter_cancellation_reason': "Введіть причину скасування",
        'add_set': "Додати набір",
        'search_products': "Пошук продуктів",
        'collect_order_preparing': "Ви впевнені, що бажаєте позначити це замовлення як готове?",
        'collect_order_confirmation': "Ви впевнені, що хочете позначити це замовлення як готове для отримання?",
        'out_for_deliver_confirmation': "Ви впевнені, що хочете позначити це замовлення як готове до доставки?",
        'order_delivered_confirmation': "Ви впевнені, що хочете позначити це замовлення як доставлене?",
        'personal_details': "Особисті дані",
        'hazard': "Небезпека",
        'submit_report': "Надіслати звіт",
        'please_select_hazard_type': "Виберіть тип небезпеки",
        'attachments_text': "Додатки",
        'in_service_by': "В обслуговуванні",
        'no_data_found': "Дані не знайдено",
        'manage_forms': "Керування формами",
        'no_forms_found': "Форми не знайдено",
        'no_forms_found_sub_msg': "Щоб почати, створіть нову форму",
        'entries': "Записи",
        'views': "Перегляди",
        'assigned_to': "Призначено",
        'created_by': "Створено",
        'administrated_by': "Адмініструється",
        'select_option': "Виберіть опцію",
        'please_select_option': "Виберіть варіант",
        'please_fix_highlighted_fields': "Виправте виділені поля.",
        'this_field_is_required': "Це поле є обов'язковим для заповнення.",
        'value': "Значення",
        'enter_your_answer': "Введіть свою відповідь...",
        'add_location': "Додайте місцезнаходження",
        'update_location': "Оновити місцезнаходження",
        'latitude': "Широта",
        'longitude': "Довгота",
        'accuracy': "Точність",
        'latitude_longitude': "Широта, довгота",
        'location_coordinates_example': "Приклад: 23.0225, 72.5714",
        'multiple_selection': "Множинний вибір",
        'unsupported_field_type': "Непідтримуваний тип поля",
        'submit_incident': "Надіслати інцидент",
        'generate_report': "Створити звіт",
        'project_report': "Звіт про проект",
        'address_report': "Звіт про адресу",
        'store_report': "Звіт магазину",
        'supplier_report': "Звіт постачальника",
        'user_report': "Звіт користувача",
        'trade_report': "Звіт про торгівлю",
        'team_report': "Звіт команди",
        'item_report': "Звіт про предмет",
        'select_modules_for_report': "Виберіть Модулі",
        'export_report': "Експорт",
        'please_select_modules': "Виберіть принаймні один варіант",
        'view_file': "Переглянути файл",
        'share_file': "Поділитися файлом",
        'later': "Пізніше",
        'save_to_files': "Зберегти у файли",
        'view_downloaded_document': "Бажаєте переглянути завантажений документ?",
        'unable_to_share_file': "Неможливо поділитися файлом",
        'click_to_upload': "Натисніть, щоб завантажити",
        'attachment_types': "Зображення, відео, аудіо, PDF",
        'max': "Макс",
        'each': "кожен",
        'new_files': "НОВІ ФАЙЛИ",
        'no_attachments_added_yet': "Ще не додано вкладень",
        'enter_title': "Введіть назву",
        'add_hazard': "Додати небезпеку",
        'hazard_title': "Назва небезпеки",
        'health_safety_settings': "Налаштування охорони здоров'я",
        'hazards': "Небезпеки",
        'incident_types': "Типи інцидентів",
        'threat_levels': "Рівні загрози",
        'add_incident_type': "Додайте тип інциденту",
        'Incident_type_title': "Тип інциденту Назва",
        'add_threat_level': "Додайте рівень загрози",
        'threat_level_title': "Назва рівня загрози",
        'no_hazards_found': "Небезпек не виявлено",
        'no_incident_types_found': "Типи інцидентів не знайдено",
        'no_threat_levels_found': "Рівні загрози не знайдені",
        'title': "Назва",
        'enter_report_title': "Введіть назву звіту",
        'title_is_required': "Необхідно вказати назву",
        'incident_type_required': "Потрібно вказати тип інциденту",
        'threat_level_required': "Необхідний рівень загрози",
        'notify_to_required': "Необхідно повідомити користувача",
        'one_file_required': "Потрібен принаймні один файл",
        'delete_near_miss_report': "Видалити звіт про помилку",
        'are_you_sure_delete_near_miss_description': "Ви впевнені, що бажаєте видалити цей звіт про промах? Цю дію не можна скасувати.",
        'near_miss_report_deleted_success': "Звіт про промах успішно видалено",
        'delete_incident_report': "Видалити звіт про інцидент",
        'are_you_sure_delete_incident_description': "Ви впевнені, що хочете видалити цей звіт про інцидент? Цю дію не можна скасувати.",
        'incident_report_deleted_success': "Звіт про інцидент успішно видалено",
        'total_leaves': "Всього листя",
        'delete_hazard': "Видалити небезпеку",
        'delete_incident_type': "Видалити тип інциденту",
        'delete_threat_level': "Видалити рівень загрози",
        'delete_confirmation': "Ви впевнені, що хочете це видалити?",
        'hazard_deleted': "Небезпеку видалено",
        'incident_deleted': "Інцидент видалено",
        'threat_level_deleted': "Рівень загрози видалено",
        'edit_hazard': "Редагувати небезпеку",
        'edit_incident_type': "Редагувати тип інциденту",
        'edit_threat_level': "Змінити рівень загрози",
        'add_near_miss_reporting': "Додати звіт про випадкові випадки",
        'edit_near_miss_reporting': "Редагувати звіт про помилку",
        'update_report': "Звіт про оновлення",
        'saved': "Збережено",
        'add_report_incident': "Додати звіт про інцидент",
        'update_incident': "Оновити інцидент",
        'edit_report_incident': "Редагувати звіт про інцидент",
        'view_details': "Переглянути деталі",
        'failed_to_parse_analytics_data': "Не вдалося проаналізувати дані аналітики",
        'check_ins': "Реєстрації",
        'stopped_work_automatically': "Автоматично припинив роботу",
        'late_work_started_': "Пізня робота\nпочався",
        'unauthorized_leave_': "Несанкціонований\nзалишити",
        'outside_working_area_': "Робота на вулиці\nобласть",
        'total_worklogs': "Всього робочих журналів",
        'induction_and_training': "Введення та навчання",
        'image_not_found': "Зображення не знайдено",
        'click_to_open_pdf': "Натисніть, щоб відкрити PDF",
        'file': "Файл",
        'partially_delivered': "Частково доставлено",
        'select_from': "Виберіть З",
        'files': "Файли",
        'view_downloaded_file': "Бажаєте переглянути завантажений файл?",
        'file_saved_to': "Файл збережено в",
        'error': "Помилка",
        'could_not_open_file': "Не вдалося відкрити файл",
        'no_technical_info': "Технічна специфікація не додана",
        'offline_worklog_data_available_message': "У вас є доступні дані робочого журналу в автономному режимі. Необхідно завантажити ці дані на сервер.",
        'offline_worklog_data_conflict': "Конфлікт даних",
        'offline_worklog_overlapping_shifts': "перекриття змін",
        'offline_worklog_overlap': "перекриття",
        'offline_worklog_start': "Почніть",
        'offline_worklog_end': "Кінець",
        'offline_worklog_keep': "Тримайте",
        'payable': "Підлягає оплаті",
        'store_setting': "Налаштування магазину",
        'filter_team': "Команда фільтрів",
        'all_teams': "Усі команди",
        'search_users': "Пошук користувачів...",
        'project_analytics': "Аналітика проекту",
        'all_budgets': "Усі бюджети",
        'profit': "Прибуток",
        'all_payments': "Всі платежі",
        'transactions': "операції",
        'received': "Отримано",
        'invoiced': "Виставлено рахунок",
        'clear_all': "Очистити все",
        'clear_all_cart_msg': "Ви впевнені, що бажаєте очистити кошик?",
        'expected_delivery_time': "Очікуваний час доставки",
        'manage_stock': "Керуйте запасами",
        'stock_movement': "Рух акцій",
        'stock_in': "в",
        'stock_out': "Вийти",
        'amount': "Сума",
        'adjusted_stock': "Скоригований запас",
        'stock_in_hand': "Запас в руках",
        'stocks': "Акції",
        'all_stocks': "Усі акції",
        'filters': "Фільтри",
        'apply': "Застосувати",
        'edit_stock': "Редагувати запас",
        'qty_in_stock': "Кількість на складі",
        'reference': "довідка",
        'deduct': "Відрахувати",
        'add_a_pack': "Додайте пакет",
        'deduct_quantity_from_pack': "Відніміть кількість з упаковки",
        'adjust_qty': "Відрегулюйте QTY",
        'enter_number_below_to_deduct_from_pack': "Введіть номер нижче, щоб вилучити з упаковки",
        'enter_quantity': "Будь ласка, введіть кількість",
        'stock_updated_successfully': "Запас успішно оновлено",
        'all_forms_not_submitted': "Будь ласка, надішліть усі форми до початку роботи.",
        'labor': "праці",
